
⚡BJ联通,#genre#
经典电影[720x576],http://111.196.133.132:8012/udp/239.3.1.195:9024
经典电影[720x576],http://114.254.189.28:9999/udp/239.3.1.195:9024
美人[768x576],http://111.196.133.132:8012/udp/239.3.1.73:4120
美人[768x576],http://114.254.189.28:9999/udp/239.3.1.73:4120
美妆[768x576],http://111.196.133.132:8012/udp/239.3.1.72:4120
美妆[768x576],http://114.254.189.28:9999/udp/239.3.1.72:4120
茶频道[1920x1080],http://111.196.133.132:8012/udp/239.3.1.165:8001
茶频道[1920x1080],http://114.254.189.28:9999/udp/239.3.1.165:8001
萌宠TV[1920x1080],http://111.196.133.132:8012/udp/239.3.1.102:8001
萌宠TV[1920x1080],http://114.254.189.28:9999/udp/239.3.1.102:8001
解密[768x576],http://111.196.133.132:8012/udp/239.3.1.75:4120
解密[768x576],http://114.254.189.28:9999/udp/239.3.1.75:4120
财富天下[785x576],http://111.196.133.132:8012/udp/239.3.1.53:9136
财富天下[785x576],http://114.254.189.28:9999/udp/239.3.1.53:9136
足球[768x576],http://111.196.133.132:8012/udp/239.3.1.89:4120
足球[768x576],http://114.254.189.28:9999/udp/239.3.1.89:4120
通州融媒[1920x1080],http://111.196.133.132:8012/udp/239.3.1.221:8001
通州融媒[1920x1080],http://114.254.189.28:9999/udp/239.3.1.221:8001
金鹰卡通[768x576],http://111.196.133.132:8012/udp/239.3.1.51:9252
金鹰卡通[768x576],http://114.254.189.28:9999/udp/239.3.1.51:9252
金鹰纪实[1920x1080],http://111.196.133.132:8012/udp/239.3.1.58:8156
金鹰纪实[1920x1080],http://114.254.189.28:9999/udp/239.3.1.58:8156
鉴赏[768x576],http://111.196.133.132:8012/udp/239.3.1.82:4120
鉴赏[768x576],http://114.254.189.28:9999/udp/239.3.1.82:4120
音乐现场[768x576],http://111.196.133.132:8012/udp/239.3.1.70:4120
音乐现场[768x576],http://114.254.189.28:9999/udp/239.3.1.70:4120
高网[768x576],http://111.196.133.132:8012/udp/239.3.1.88:4120
高网[768x576],http://114.254.189.28:9999/udp/239.3.1.88:4120
魅力时尚[720x576],http://111.196.133.132:8012/udp/239.3.1.196:9012
魅力时尚[720x576],http://114.254.189.28:9999/udp/239.3.1.196:9012

⚡河南联通-,#genre#
CCTV-1综合,http://www.iptvcn.cn:9000/udp/225.1.2.47:10276
CCTV-2财经,http://www.iptvcn.cn:9000/udp/225.1.2.78:10462
CCTV-3综艺,http://www.iptvcn.cn:9000/udp/225.1.2.141:10864
CCTV-4中文国际,http://www.iptvcn.cn:9000/udp/225.1.2.197:11806
CCTV-4中文国际欧洲,http://www.iptvcn.cn:9000/udp/225.1.2.182:11818
CCTV-4中文国际美洲,http://www.iptvcn.cn:9000/udp/225.1.2.183:11824
CCTV-5体育,http://www.iptvcn.cn:9000/udp/225.1.2.142:10870
CCTV-5+体育赛事,http://www.iptvcn.cn:9000/udp/225.1.2.48:10282
CCTV-6电影,http://www.iptvcn.cn:9000/udp/225.1.2.143:10876
CCTV-7国防军事,http://www.iptvcn.cn:9000/udp/225.1.2.79:10468
CCTV-8电视剧,http://www.iptvcn.cn:9000/udp/225.1.2.144:10882
CCTV-9纪录,http://www.iptvcn.cn:9000/udp/225.1.2.80:10474
CCTV-10科教,http://www.iptvcn.cn:9000/udp/225.1.2.81:10480
CCTV-11戏曲,http://www.iptvcn.cn:9000/udp/225.1.2.220:11434
CCTV-12社会与法,http://www.iptvcn.cn:9000/udp/225.1.2.82:10486
CCTV-13新闻,http://www.iptvcn.cn:9000/udp/225.1.2.74:11584
CCTV-14少儿,http://www.iptvcn.cn:9000/udp/225.1.2.83:10492
CCTV-15音乐,http://www.iptvcn.cn:9000/udp/225.1.2.221:11440
CCTV-17农业农村,http://www.iptvcn.cn:9000/udp/225.1.2.53:10312

CETV1,http://www.iptvcn.cn:9000/udp/225.1.2.94:10558
CHC家庭影院,http://www.iptvcn.cn:9000/udp/225.1.2.214:11422
CHC动作电影,http://www.iptvcn.cn:9000/udp/225.1.2.215:11428
CHC高清电影,http://www.iptvcn.cn:9000/udp/225.1.2.210:11398
CGTN,http://www.iptvcn.cn:9000/udp/225.1.2.184:11830
CGTN(记录),http://www.iptvcn.cn:9000/udp/225.1.2.185:11836
CGTN(西),http://www.iptvcn.cn:9000/udp/225.1.2.186:11842
CGTN(法),http://www.iptvcn.cn:9000/udp/225.1.2.187:11848
CGTN(阿拉伯),http://www.iptvcn.cn:9000/udp/225.1.2.188:11854
CGTN(俄),http://www.iptvcn.cn:9000/udp/225.1.2.189:11860

湖南卫视,http://www.iptvcn.cn:9000/udp/225.1.2.50:10294
江苏卫视,http://www.iptvcn.cn:9000/udp/225.1.2.84:10498
浙江卫视,http://www.iptvcn.cn:9000/udp/225.1.2.85:10504
北京卫视,http://www.iptvcn.cn:9000/udp/225.1.2.49:10288
东方卫视,http://www.iptvcn.cn:9000/udp/225.1.2.86:10510
天津卫视,http://www.iptvcn.cn:9000/udp/225.1.2.87:10516
山东卫视,http://www.iptvcn.cn:9000/udp/225.1.2.89:10528
安徽卫视,http://www.iptvcn.cn:9000/udp/225.1.2.88:10522
深圳卫视,http://www.iptvcn.cn:9000/udp/225.1.2.91:10540
湖北卫视,http://www.iptvcn.cn:9000/udp/225.1.2.90:10534
四川卫视,http://www.iptvcn.cn:9000/udp/225.1.2.108:11626
黑龙江卫视,http://www.iptvcn.cn:9000/udp/225.1.2.92:10546
云南卫视,http://www.iptvcn.cn:9000/udp/225.1.2.76:11596
贵州卫视,http://www.iptvcn.cn:9000/udp/225.1.2.109:11632
辽宁卫视,http://www.iptvcn.cn:9000/udp/225.1.2.152:10930
东南卫视,http://www.iptvcn.cn:9000/udp/225.1.2.226:11470
江西卫视,http://www.iptvcn.cn:9000/udp/225.1.2.77:11602
重庆卫视,http://www.iptvcn.cn:9000/udp/225.1.2.75:11590
广东卫视,http://www.iptvcn.cn:9000/udp/225.1.2.151:10924
河北卫视,http://www.iptvcn.cn:9000/udp/225.1.2.106:11614
吉林卫视,http://www.iptvcn.cn:9000/udp/225.1.2.105:11608
海南卫视,http://www.iptvcn.cn:9000/udp/225.1.2.107:11620
河南卫视,http://www.iptvcn.cn:9000/udp/225.1.2.99:10588

河南导视,http://www.iptvcn.cn:9000/udp/225.1.2.241:11908
河南都市,http://www.iptvcn.cn:9000/udp/225.1.2.56:10330
河南民生,http://www.iptvcn.cn:9000/udp/225.1.2.57:10336
河南法治,http://www.iptvcn.cn:9000/udp/225.1.2.58:10342
河南电视剧,http://www.iptvcn.cn:9000/udp/225.1.2.59:10348
河南新闻,http://www.iptvcn.cn:9000/udp/225.1.2.60:10354
河南公共,http://www.iptvcn.cn:9000/udp/225.1.2.62:10366
河南乡村,http://www.iptvcn.cn:9000/udp/225.1.2.104:10618
河南国际,http://www.iptvcn.cn:9000/udp/225.1.2.103:10612
河南移动电视,http://www.iptvcn.cn:9000/udp/225.1.2.190:11866
河南欢腾购物,http://www.iptvcn.cn:9000/udp/225.1.2.61:10360
河南欢腾购物,http://www.iptvcn.cn:9000/udp/225.1.2.73:11578

纪实人文,http://www.iptvcn.cn:9000/udp/225.1.2.154:10942
金鹰纪实,http://www.iptvcn.cn:9000/udp/225.1.2.97:10576
收藏天下,http://www.iptvcn.cn:9000/udp/225.1.2.101:10600
河南戏曲,http://www.iptvcn.cn:9000/udp/225.1.2.100:10594
中华功夫,http://www.iptvcn.cn:9000/udp/225.1.2.102:10606
国学频道,http://www.iptvcn.cn:9000/udp/225.1.2.129:11674
中华特产,http://www.iptvcn.cn:9000/udp/225.1.2.205:11788

河南卫视4K,http://www.iptvcn.cn:9000/udp/225.1.2.237:11530
测试4K,http://www.iptvcn.cn:9000/udp/225.1.2.196:11194



⚡河南联通,#genre#
凤凰卫视资讯台,http://www.91dos.cn:4022/rtp/239.61.2.183:9086



河南卫视,http://116.148.164.119/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024059702.m3u8


河南民生,http://115.60.241.249:2000/rtp/225.1.4.53:1082


chc电影,http://115.60.241.249:2000/rtp/225.1.4.208:1261


CCTV-10高清,http://115.60.241.249:2000/rtp/225.1.4.78:1107

CCTV-2高清,http://115.60.241.249:2000/rtp/225.1.4.74:1103

吉林卫视,http://115.60.241.249:2000/rtp/225.1.4.36:1065

CCTV-1高清,http://115.60.241.249:2000/rtp/225.1.4.73:1102

移动戏曲,http://115.60.241.249:2000/rtp/225.1.4.206:1254

CCTV4美洲,http://115.60.241.249:2000/rtp/225.1.5.32:1343

河南法治频道,http://115.60.241.249:2000/rtp/225.1.4.54:1083

河南民生频道,http://115.60.241.249:2000/rtp/225.1.4.53:1082

河南卫视高清,http://115.60.241.249:2000/rtp/225.1.4.98:1127

河南都市频道高清,http://115.60.241.249:2000/rtp/225.1.4.52:1081

河南公共频道高清,http://115.60.241.249:2000/rtp/225.1.4.58:1087




⚡电影专线一,#genre#
【牛叔】N分钟带你看完大片,http://159.75.85.63:35455/douyu/2758565
【万合天宜】王大锤情怀,http://159.75.85.63:35455/douyu/9220456
星爷 华语 经典,http://159.75.85.63:35455/douyu/122402
猫和老鼠,http://159.75.85.63:35455/douyu/7888428
华语 经典 电影 沈腾,http://159.75.85.63:35455/douyu/85894
喜剧、黑帮、动作,http://159.75.85.63:35455/douyu/315457
菠萝说电影,http://159.75.85.63:35455/douyu/3714736
国产青春 动作,http://159.75.85.63:35455/douyu/5423
